Experiment,Algorithm,Benchmark,hostSeconds,hostTickRate,hostMemory,simInsts,hostInstRate,hostOpRate,dcache_overallHits,dcache_overallMisses,dcache_overallAccesses,dcache_avgMissLatency,dcache_tagsInUse,dcache_avgOccupancy,icache_overallHits,icache_overallMisses,icache_overallAccesses,icache_avgMissLatency,icache_tagsInUse,icache_avgOccupancy,l2cache_avgMissLatency,l3cache_avgMissLatency,l2cache_tagsInUse,l3cache_tagsInUse,l2cache_avgOccupancy,l3cache_avgOccupancy,memctrl_totalEnergy,memctrl_averagePower,memctrl_readReqs,memctrl_writeReqs,memctrl_readBursts
11,MRURP,BFS,37.34,2179294144,752592,22031780,590021,1135185,5473199,140860,5614059,100252.094278,1021.016363,0.997086,27913643,3172,27916815,131574.716267,255.823848,0.999312,122956.475744,101236.016837,4062.774116,7946.715005,0.991888,0.970058,41699459160,512.430794,79113,32137,79113
12,MRURP,blocked-matmul,17.82,2169152088,699952,10074290,565448,984174,3095361,6799,3102160,82924.253567,1018.566246,0.994694,15855863,1336,15857199,134663.922156,255.627736,0.998546,143651.993547,102044.233441,3635.860490,4000.123635,0.887661,0.488296,18238869195,471.944185,4318,0,4318
13,LFURP,queens,191.15,1938826747,703024,115020716,601735,1219158,35313881,1983,35315864,137675.743822,1023.432435,0.999446,149755123,1450,149756573,132779.310345,255.961179,0.999848,140911.408540,99010.848756,2996.147012,3050.047101,0.731481,0.372320,172469810715,465.375384,3134,0,3134
14,LFURP,sha,17.24,2088890605,700964,12043629,698772,907111,2429747,2098,2431845,135732.602479,1018.160417,0.994297,15329718,1500,15331218,132125.333333,255.600447,0.998439,140853.185596,98949.152542,2907.612673,2950.752164,0.709866,0.360199,16824085830,467.305628,3245,0,3245
15,LFURP,BFS,38.84,2095374848,752588,22031780,567302,1091475,5473199,140860,5614059,100252.094278,1021.016363,0.997086,27913643,3172,27916815,131574.716267,255.823848,0.999312,122956.475744,101236.016837,4062.774116,7946.715005,0.991888,0.970058,41699459160,512.430794,79113,32137,79113
16,LFURP,blocked-matmul,16.92,2283702214,699948,10074290,595311,1036150,3095361,6799,3102160,82924.253567,1018.566246,0.994694,15855863,1336,15857199,134663.922156,255.627736,0.998546,143651.993547,102044.233441,3635.860490,4000.123635,0.887661,0.488296,18238869195,471.944185,4318,0,4318
17,FIFORP,queens,187.93,1972067981,703024,115020716,612051,1240060,35313881,1983,35315864,137675.743822,1023.432435,0.999446,149755123,1450,149756573,132779.310345,255.961179,0.999848,140911.408540,99010.848756,2996.147012,3050.047101,0.731481,0.372320,172469810715,465.375384,3134,0,3134
18,FIFORP,sha,17.18,2095515018,700964,12043629,700992,909996,2429747,2098,2431845,135732.602479,1018.160417,0.994297,15329718,1500,15331218,132125.333333,255.600447,0.998439,140853.185596,98949.152542,2907.612673,2950.752164,0.709866,0.360199,16824085830,467.305628,3245,0,3245
19,FIFORP,BFS,37.30,2181796485,752592,22031780,590700,1136491,5473199,140860,5614059,100252.094278,1021.016363,0.997086,27913643,3172,27916815,131574.716267,255.823848,0.999312,122956.475744,101236.016837,4062.774116,7946.715005,0.991888,0.970058,41699459160,512.430794,79113,32137,79113
20,FIFORP,blocked-matmul,16.60,2328544910,699948,10074290,606995,1056486,3095361,6799,3102160,82924.253567,1018.566246,0.994694,15855863,1336,15857199,134663.922156,255.627736,0.998546,143651.993547,102044.233441,3635.860490,4000.123635,0.887661,0.488296,18238869195,471.944185,4318,0,4318
21,NRURP,queens,183.29,2021995549,703024,115020716,627547,1271456,35313881,1983,35315864,137675.743822,1023.432435,0.999446,149755123,1450,149756573,132779.310345,255.961179,0.999848,140911.408540,99010.848756,2996.147012,3050.047101,0.731481,0.372320,172469810715,465.375384,3134,0,3134
22,NRURP,sha,16.57,2172555560,700964,12043629,726766,943455,2429747,2098,2431845,135732.602479,1018.160417,0.994297,15329718,1500,15331218,132125.333333,255.600447,0.998439,140853.185596,98949.152542,2907.612673,2950.752164,0.709866,0.360199,16824085830,467.305628,3245,0,3245
23,NRURP,BFS,37.78,2153777405,752592,22031780,583115,1121897,5473199,140860,5614059,100252.094278,1021.016363,0.997086,27913643,3172,27916815,131574.716267,255.823848,0.999312,122956.475744,101236.016837,4062.774116,7946.715005,0.991888,0.970058,41699459160,512.430794,79113,32137,79113
